Gene	HT29-CoCl2-1_S1	HT29-CoCl2-2_S13	HT29-CoCl2-3_S6	HT29-Ctrl-1_S11	HT29-Ctrl-2_S7	HT29-Ctrl-3_S15
AC073632.1	0	0	0	0	0	0
AC062020.1	0	0	0	0	0	0
LINC01826	0	0	0	0	0	0
AC073409.2	0	0	0	0	0	0
AC073409.1	0	0	0	0	0	0
ELOAP1	0	0	0	0	0	0
PSMD14P1	5	1	4	0	0	0
AC064859.1	0	0	0	0	0	0
RN7SKP102	0	0	0	0	0	0
AC079154.1	0	0	0	0	0	0
CNTNAP5	0	0	0	0	0	0
MTND5P22	0	0	0	0	0	0
AC019159.2	0	0	0	0	0	0
AC019159.1	0	0	0	0	0	0
RNA5SP102	0	0	0	0	0	0
RNU6-259P	0	0	0	0	0	0
AC097499.2	0	0	0	0	0	0
LINC01889	0	0	0	0	0	1
AC097499.1	0	0	0	0	0	0
LINC01941	0	0	0	0	0	0
AC142116.2	0	0	0	0	0	0
AC023347.1	0	0	0	0	1	0
SLC6A14P3	0	0	0	0	0	0
YWHAZP2	13	18	7	10	11	16
AC013474.2	0	0	0	0	0	0
GYPC	0	0	0	0	0	0
AC013474.1	0	0	0	0	0	0
RNU6-675P	0	0	0	0	0	0
TEX51	0	0	0	0	0	0
RNU7-182P	0	0	0	0	0	0
AC012508.2	0	0	0	0	0	0
AC012508.3	0	0	0	0	0	0
AC012508.1	0	0	0	0	0	0
BIN1	1024	1011	888	675	889	1255
AC110926.2	0	0	0	0	0	0
NIFKP9	0	0	0	0	0	0
CYP27C1	0	0	0	0	0	0
AC110926.1	0	0	1	0	0	0
ERCC3	667	692	585	739	832	1241
AC068282.1	0	0	0	0	1	3
MAP3K2	4612	5651	4512	1610	1878	2796
RNU6-1147P	0	2	0	1	0	1
MAP3K2-DT	44	55	28	103	131	176
AC068282.2	2	1	7	5	11	15
PROC	27	35	46	13	19	26
MIR4783	0	0	0	0	0	0
IWS1	1408	1513	1357	1227	1569	2172
AC010976.1	41	62	44	21	32	56
RNU4-48P	0	2	0	0	1	1
MYO7B	320	324	242	553	615	887
AC010976.2	1	0	1	4	2	10
LIMS2	248	241	196	769	964	1343
GPR17	2	1	0	17	15	24
WDR33	2077	2212	1875	1157	1440	2118
SFT2D3	0	0	0	0	0	0
RNY4P7	0	0	0	0	0	0
AC006011.1	0	0	0	0	0	0
ZFP91P1	0	0	2	2	0	0
POLR2D	288	324	276	569	658	931
RNU6-395P	0	0	0	0	0	0
RPS26P19	0	0	0	0	0	0
AC012306.3	3	1	1	0	0	0
AMMECR1L	1083	1082	907	952	1214	1901
AC012306.2	1	2	3	8	11	8
AC012306.4	1	0	0	7	7	15
AC012306.1	0	0	0	0	0	0
SAP130	1039	1135	959	568	634	821
AC108059.3	0	0	0	0	0	1
AC108059.1	0	0	0	0	0	0
UGGT1	1796	2053	1639	2031	2227	3350
SRMP3	0	0	0	0	0	0
AC108059.2	0	0	0	0	0	0
DYNLT3P2	0	0	1	0	0	1
RPL14P6	0	0	0	0	0	0
RPL21P34	0	0	1	0	0	3
HS6ST1	204	240	179	76	96	147
AC013277.1	0	0	0	0	0	0
RNA5SP103	0	0	0	0	0	0
ISCA1P6	0	0	0	0	0	0
AC012451.1	0	0	0	0	0	0
AC068483.1	0	0	0	0	0	0
LINC01854	0	0	0	0	0	1
PPIAP65	0	2	0	0	0	1
LINC02572	0	0	1	0	3	1
AC079776.5	0	0	0	0	0	0
PLAC9P1	0	0	0	0	0	0
LINC01856	0	0	0	0	0	0
RPL22P7	1	0	0	1	0	1
RAB6C-AS1	0	0	0	0	0	0
RAB6C	0	0	0	0	1	1
AC079776.3	0	0	0	0	0	0
AC079776.4	0	0	0	0	0	0
AC079776.2	0	0	0	0	0	0
AC079776.1	0	0	0	0	0	0
ARHGAP42P2	0	1	1	0	1	0
FAR2P1	0	2	1	8	5	10
AC018865.2	2	3	1	6	12	15
KLF2P1	0	0	1	6	6	5
CYP4F27P	0	0	0	0	0	1
POTEF	1	2	1	3	3	7
AC018865.1	0	0	0	0	0	0
POTEF-AS1	0	0	0	0	0	0
RNU6-1049P	0	0	0	0	0	0
MED15P9	0	0	0	1	1	1
CCDC74B	3	2	1	6	10	14
SMPD4	1250	1265	1069	1068	1282	1747
MZT2B	257	227	233	275	333	527
TUBA3E	0	0	0	0	0	0
AC018804.1	1	0	0	0	0	0
RHOQP3	1	0	0	0	3	2
NOC2LP1	16	13	10	17	12	12
AC134915.1	0	0	0	1	0	0
MED15P5	0	1	0	0	0	0
MTND1P29	0	0	0	0	0	0
MTND2P22	0	0	0	0	0	0
MTCO1P7	0	0	0	0	0	0
MTCO2P7	0	0	0	0	0	0
MTATP6P7	0	0	0	0	0	0
MTCO3P7	0	0	0	0	0	0
AC068137.1	0	0	0	0	0	0
AC068137.2	0	0	0	0	0	0
MTND4P27	0	0	0	0	0	0
MTND5P29	0	0	0	0	0	0
MTND6P8	0	0	0	0	0	0
MTCYBP8	0	0	0	0	0	0
RPL19P4	0	0	0	0	0	1
TEKT4P3	0	0	0	0	0	0
AC132479.1	0	0	1	0	0	0
CCDC115	344	352	320	410	426	562
IMP4	661	647	551	791	927	1359
PTPN18	192	228	188	964	1175	1627
FAR2P2	0	0	0	0	0	0
KLF2P2	0	0	0	0	0	0
CYP4F62P	0	0	0	1	0	0
POTEI	0	0	0	1	0	1
RNU6-473P	0	0	0	0	0	0
AC013269.2	0	0	0	0	0	0
AC013269.3	0	0	0	0	0	0
CFC1B	0	0	0	0	0	0
AC013269.1	0	0	0	0	0	0
PRSS40B	0	0	0	0	0	0
PRSS40A	0	0	0	0	0	0
AC140481.2	0	0	0	0	0	0
CFC1	0	0	0	0	1	0
AC140481.3	1	0	0	0	0	0
POTEJ	0	0	0	0	0	0
RNU6-848P	0	0	0	0	0	0
CYP4F30P	0	0	0	0	0	0
AC140481.4	0	0	0	0	0	0
FAR2P3	0	0	0	0	0	0
KLF2P3	0	0	0	0	0	0
GPR148	0	0	0	0	0	0
AC140481.1	0	0	0	0	0	0
AMER3	0	0	0	1	0	0
CYCSP8	0	0	0	0	0	0
AC133785.1	0	0	0	0	0	0
ARHGEF4	1	2	2	1	1	2
AC112786.1	0	0	0	0	0	0
AC112786.2	0	0	0	0	0	0
SMIM39	0	0	0	0	0	0
FAM168B	5468	6060	4737	2987	3457	5258
PLEKHB2	11508	12525	10197	3016	3354	5221
NEK2P4	0	0	1	0	0	1
AC009477.1	0	0	0	0	0	0
NF1P8	0	0	0	0	0	0
AC131180.1	0	0	0	0	0	0
MED15P8	0	0	0	0	0	0
POTEE	1	1	0	2	1	5
RNU6-127P	0	0	0	0	0	0
FAR2P4	0	0	0	0	2	1
KLF2P4	0	0	0	1	0	0
AC073869.5	0	0	0	0	0	0
ARHGAP42P1	0	0	0	0	0	0
AC073869.7	0	0	0	0	0	0
SSBP3P2	0	0	0	0	0	0
RAB6D	15	9	14	11	24	20
AC073869.3	0	1	0	0	1	0
MTCYBP10	0	0	0	0	0	0
MTND6P10	0	0	0	0	0	0
MTND5P23	1	0	0	0	0	0
MTND4P21	0	0	0	0	0	0
AC073869.4	0	0	0	0	0	0
MTND3P18	0	0	0	0	0	0
MTCO3P18	0	0	0	0	0	0
MTATP6P4	0	0	0	0	0	0
MTCO2P18	0	0	0	1	0	0
MTCO1P18	0	0	0	0	1	0
MTND2P18	0	0	0	0	0	0
MTND1P26	0	0	0	0	0	0
MED15P3	0	0	0	0	0	0
AC073869.2	0	0	0	1	0	1
LINC01120	0	0	1	1	0	7
AC073869.6	0	0	0	0	0	0
GNAQP1	0	0	0	1	1	5
NOC2LP2	2	6	2	0	2	3
RHOQP2	3	1	1	0	0	3
AC073869.1	0	0	1	0	1	0
MZT2A	321	264	262	286	290	509
TUBA3D	2	6	1	14	6	4
MIR4784	0	0	0	0	0	0
SMPD4BP	552	575	477	309	465	607
CCDC74A	8	8	5	39	57	52
MED15P4	0	0	0	0	0	0
AC093838.1	1	1	0	7	5	9
POTEKP	5	6	6	23	23	48
RNU6-617P	0	0	0	0	0	0
LINC01087	0	0	0	17	17	21
GRAMD4P8	0	0	0	3	2	3
C2orf27A	55	39	42	62	89	118
AC093838.2	1	5	2	6	7	10
TOMM40P4	16	28	21	27	31	40
AC093724.1	1	1	3	2	3	0
C2orf27B	0	0	0	0	3	1
AC103564.3	0	0	0	0	0	1
AC103564.1	0	2	0	0	1	1
AC103564.2	0	0	0	0	0	0
AJ239322.2	0	0	0	0	0	0
AJ239322.1	0	0	0	0	0	0
LINC01945	0	0	0	0	0	0
AC093787.2	0	0	0	0	0	0
AC093787.1	0	0	0	0	0	0
AC098826.3	0	0	0	0	0	0
AC098826.1	0	0	0	0	0	0
AC098826.2	1	0	0	0	0	0
ANKRD30BL	0	0	0	0	0	0
RNU6-1132P	0	0	0	0	0	0
RNA5-8SP5	0	0	0	0	0	0
MIR663B	0	0	0	0	0	0
CDC27P1	0	0	0	0	0	0
AC097532.1	0	0	0	0	0	0
ZNF806	0	0	0	0	0	0
AC097532.2	0	1	0	0	2	4
AC097532.3	0	0	0	0	1	1
FAM201B	0	0	0	0	0	0
RNU6-175P	0	0	0	0	0	0
GPR39	29	32	25	91	59	103
YBX1P7	0	0	0	0	0	0
RN7SKP103	0	0	0	0	0	0
LYPD1	0	1	1	0	0	2
AC010974.1	0	0	0	0	0	0
NCKAP5	0	1	1	0	1	2
AC010974.2	0	0	0	0	0	0
AC016909.1	0	0	0	0	0	0
NCKAP5-AS1	0	0	0	0	0	0
AC011755.1	0	0	0	0	1	0
NCKAP5-AS2	0	0	0	0	0	0
RNU6-579P	0	0	0	0	0	0
RN7SKP154	0	0	0	0	0	0
NCKAP5-IT1	0	0	0	0	0	0
AC011243.1	0	0	0	0	0	0
RN7SKP93	0	0	0	0	0	0
AC092623.1	0	0	0	0	0	0
MGAT5	3689	4070	3245	2516	2760	3960
MIR3679	0	1	0	0	0	0
RNA5SP104	0	0	0	0	0	0
EDDM3CP	0	0	0	0	0	0
TMEM163	1	2	0	0	2	0
AC110620.2	0	0	0	0	0	0
CCNT2-AS1	12	10	15	24	21	34
VDAC2P4	0	0	0	0	0	0
AC110620.1	0	0	0	0	0	0
ACMSD	1	2	0	1	3	9
MIR5590	0	0	0	0	0	0
CCNT2	2003	2512	1924	1124	1247	1893
MAP3K19	0	1	0	2	1	4
RAB3GAP1	3454	4035	3327	1678	2020	3204
SNORA40B	0	0	0	0	0	0
ZRANB3	98	96	86	200	235	389
G3BP1P1	1	4	3	5	12	15
R3HDM1	504	546	500	1066	1176	1639
RNU6-512P	0	0	0	0	0	0
MIR128-1	0	0	0	0	0	0
UBXN4	9668	11477	9087	3123	3553	5337
LCT	0	2	0	0	0	1
AC011893.1	0	0	0	0	0	0
LCT-AS1	0	0	0	0	0	0
MCM6	523	586	497	696	865	1252
MANEALP1	0	0	0	0	2	0
DARS1	1648	1970	1660	1663	1973	3029
DARS-AS1	17	27	31	37	27	36
AC068492.1	0	0	0	0	0	0
CXCR4	313	352	326	703	894	1507
HNRNPKP2	21	36	24	22	25	48
AC112255.1	0	0	0	3	2	3
UBBP1	4	2	0	0	0	0
RN7SKP141	0	0	0	0	0	0
SMC4P1	0	0	0	0	0	0
THSD7B	0	0	0	0	0	0
RNA5SP105	0	0	0	0	0	0
AC016679.1	0	0	0	0	0	0
HNMT	260	274	232	717	830	1147
LINC01832	0	0	0	0	0	0
RPL15P5	1	1	2	2	4	0
YWHAEP5	7	1	7	7	5	13
IDI1P1	1	1	3	1	0	0
RNF14P1	0	0	0	0	0	0
AC114763.1	2	0	3	9	7	22
AC114763.2	0	0	0	0	0	1
SPOPL	836	1051	859	726	848	1185
AC092620.1	0	1	0	0	0	0
AC092620.2	0	1	0	0	1	1
LINC02631	1	2	2	1	8	2
NXPH2	0	0	0	0	0	0
RN7SKP286	0	0	0	0	0	0
YY1P2	0	0	0	0	0	0
AHCYP4	0	1	0	0	1	0
AC023468.1	0	0	0	0	0	0
AC013265.1	0	0	0	0	0	0
AC062021.1	0	0	0	0	0	0
AC016710.2	0	0	0	0	0	0
AC016710.1	0	0	0	0	0	0
MRPS18BP2	0	0	0	0	0	0
RPL9P13	0	0	0	0	0	0
AC078851.1	0	0	0	0	0	0
RN7SL283P	0	0	0	0	0	0
LINC01853	0	0	0	0	0	0
MTCO1P44	0	0	0	0	0	0
MTND2P19	0	0	0	0	0	0
MTND1P27	0	0	0	0	0	0
LRP1B	2	1	0	0	0	0
AC092156.1	0	0	0	0	0	0
MIR7157	0	0	0	0	0	0
COPRSP1	0	0	1	0	0	1
LRRC57P1	0	0	0	0	0	0
AC073319.1	0	0	0	0	0	0
RNU6-904P	0	0	0	0	0	0
RPS16P3	0	0	0	0	0	0
AC078882.1	1	0	0	0	0	0
UBE2V1P14	0	0	0	0	0	0
RRN3P4	0	0	0	1	0	0
KYNU	35	43	39	78	78	149
SFXN4P1	0	0	0	0	0	0
ARHGAP15	0	1	0	0	0	0
MTCYBP11	0	0	0	0	0	0
MTND6P11	0	0	0	0	0	0
MTND5P24	0	0	0	0	0	0
MTND4P22	0	0	0	0	0	0
MTND4LP12	0	0	0	0	0	0
MTND3P9	0	0	0	0	0	0
MTCO3P5	0	0	0	0	0	0
MTATP6P5	0	0	0	0	0	0
MTCO2P5	0	0	0	0	0	0
AC013437.1	0	0	0	0	0	0
AC079793.1	0	0	0	0	0	0
AC092652.2	0	0	0	0	0	0
ARHGAP15-AS1	0	0	0	0	0	0
AC092652.1	0	0	0	0	0	0
AC079584.2	0	0	0	0	0	0
AC079584.1	0	0	0	0	0	0
AC016910.1	0	0	0	0	0	0
AC016910.2	3	0	2	0	0	0
GTDC1	476	493	454	311	354	595
ZEB2	0	0	0	4	2	6
AC009951.5	0	0	0	0	0	0
AC009951.4	0	0	0	0	0	0
ZEB2-AS1	0	0	0	0	0	0
AC009951.2	0	0	0	0	0	0
AC009951.1	0	0	0	0	0	0
AC009951.3	0	0	0	0	0	0
AC009951.6	0	0	0	0	0	0
LINC01412	0	0	0	0	0	0
TEX41	0	0	0	0	0	0
AC023128.1	0	0	0	0	0	0
AC023128.2	0	0	0	0	0	0
SGCEP1	0	0	0	0	0	0
LINC01966	0	0	0	0	0	0
AC096666.1	0	0	0	0	0	0
RPL6P5	0	0	0	0	0	0
AC092484.1	0	0	0	0	0	0
AC079163.2	0	0	0	0	0	0
AC079163.1	0	0	0	0	0	0
METAP2P1	0	0	0	0	0	0
AC079248.1	0	0	0	0	0	0
AC079248.2	0	0	0	0	0	0
RNU7-2P	0	0	0	0	0	0
RPL17P12	0	0	0	0	0	0
OTX2P2	0	0	0	0	0	0
PABPC1P2	0	0	1	0	0	1
AC103881.1	0	0	0	0	0	0
LINC01911	0	0	0	0	0	0
AC062032.1	0	0	0	0	0	0
AC018678.1	0	0	0	0	0	0
RNU6-692P	0	0	0	0	0	0
AC013406.1	0	0	0	0	0	0
RNU6-715P	0	0	0	0	0	0
RNA5SP106	0	0	0	0	0	0
AC009480.2	0	0	0	0	0	0
ACVR2A	154	193	155	161	188	294
RNU6-1275P	0	0	0	0	0	0
AC009480.1	0	0	0	0	0	1
ORC4	811	1011	722	862	946	1487
MBD5	405	453	388	419	465	608
AC019226.1	2	2	0	6	7	7
AC019226.2	0	0	0	0	0	0
AC019070.1	0	0	0	0	0	0
USP12P2	0	0	0	0	0	0
RPS29P8	1	0	1	0	1	1
EPC2	1046	1180	973	1024	1178	1697
RNU2-9P	0	0	0	0	0	0
UBBP3	0	0	0	0	0	0
KIF5C-AS1	0	0	0	0	0	0
RPS20P13	0	0	2	0	0	0
USP8P2	0	1	0	0	0	1
KIF5C	0	0	1	0	0	0
AC105402.1	0	0	0	0	0	0
LYPD6B	28	32	31	34	51	60
TXNP5	1	3	3	1	0	2
AC009230.1	0	0	1	0	0	0
FAM8A3P	0	0	0	0	0	0
LYPD6	11	8	6	31	50	51
RPL17P13	0	0	0	0	0	0
MMADHC	3192	3625	3041	2121	2615	4484
MMADHC-DT	18	14	13	18	14	35
RNU6-601P	0	0	0	0	0	1
LINC01931	0	1	2	1	1	1
AC016682.1	1	1	1	8	4	11
LINC01818	0	0	0	0	0	0
LINC01817	0	0	0	0	0	0
RND3	2243	2497	1933	1450	1749	2856
LINC01920	0	0	0	0	0	0
AC104777.2	0	0	0	0	0	0
AC104777.1	0	0	0	0	0	0
LINC02612	0	0	0	0	0	0
AC023469.2	0	0	0	0	0	0
AC023469.1	0	0	0	0	0	0
AC018731.1	0	0	0	0	0	0
FABP5P10	0	0	0	0	0	0
RBM43	38	50	41	65	98	135
NMI	602	768	594	413	524	844
TNFAIP6	0	0	0	0	0	0
MIR4773-2	0	0	0	0	0	0
MIR4773-1	0	0	0	0	0	0
RN7SL124P	0	0	0	0	0	0
RIF1	1607	1911	1506	1965	2219	3289
NEB	105	111	89	661	831	1171
ARL5A	212	247	185	323	418	517
AC097448.1	67	60	55	116	93	126
AC068547.1	0	0	0	0	0	0
CACNB4	3	8	2	1	6	3
AC079790.1	0	0	0	0	0	0
STAM2	795	817	698	734	802	1238
RPL30P2	2	4	0	0	1	1
AC079790.2	0	0	1	0	0	1
AC079347.1	0	0	0	0	0	0
FMNL2	141	160	147	301	296	440
AC012066.1	3	1	3	0	1	2
AC012066.2	0	0	0	0	0	0
AC012443.1	0	0	0	0	0	0
AC012443.2	15	15	10	29	23	53
PRPF40A	2812	3456	2749	3328	3799	5433
ARL6IP6	142	152	156	212	294	448
AC009969.1	0	0	0	0	0	0
UBQLN4P2	0	0	0	0	0	0
ATP5PBP4	0	0	0	0	0	0
AC011901.1	0	0	0	0	0	0
AC079150.1	2	2	0	1	1	0
LINC01850	0	0	0	0	0	1
RPL23AP29	0	0	0	0	0	2
AC012501.3	16	16	19	17	15	21
AC012501.2	3	0	2	1	3	6
AC012501.1	0	0	0	1	0	0
RPRM	1	5	3	7	12	6
DNAJA1P2	0	0	0	0	0	0
GALNT13	2	0	1	3	3	6
PHBP4	0	0	0	0	1	0
AC009227.1	0	0	0	0	0	0
AC009227.2	0	0	0	0	0	0
RNA5SP107	0	0	0	0	0	0
AC061961.1	2	4	3	27	33	37
KCNJ3	33	40	29	200	218	293
CBX3P6	0	0	0	0	0	0
AC092625.1	0	0	0	0	0	0
RNU6-1001P	0	0	0	0	0	0
MTCO1P45	0	0	0	0	0	0
MTND2P20	0	0	0	0	0	0
ATP5F1AP2	0	0	0	1	0	0
MTND4P28	0	0	0	0	0	0
MTND5P30	0	0	0	0	0	0
MTND6P9	0	0	0	0	0	0
MTCYBP9	0	0	0	0	0	0
RNU6-546P	0	0	0	0	0	0
AC073225.1	0	0	0	0	0	0
LINC01876	17	16	20	108	105	162
AC073551.1	0	0	0	0	0	3
AC074099.1	0	0	1	6	7	6
NR4A2	215	263	193	132	170	248
GPD2	1277	1427	1129	1343	1563	2299
LINC01958	0	0	0	0	0	0
RPLP0P7	0	1	1	1	0	0
AC096589.2	0	0	1	3	2	4
AC096589.1	0	0	0	0	0	0
AC108057.1	0	0	0	0	0	1
CDK7P1	2	4	1	1	1	4
GALNT5	75	98	73	86	93	118
RN7SKP281	0	1	0	0	0	0
ERMN	0	0	0	0	0	1
FAM133DP	3	1	5	9	12	5
CYTIP	0	3	3	4	8	9
ACVR1C	16	29	11	9	12	7
AC019186.1	4	8	5	1	2	5
ACVR1	1177	1283	1013	604	716	1124
UPP2	2	1	1	1	4	2
AC013731.1	3	9	10	8	12	11
RNU6-436P	0	0	0	0	0	0
AC091488.1	0	0	0	0	0	1
MTA3P1	0	0	0	0	0	0
RNU6-932P	0	0	0	0	0	0
PTP4A1P1	0	0	0	0	0	0
UPP2-IT1	0	0	0	1	0	0
CCDC148-AS1	0	0	0	0	0	0
CCDC148	12	15	12	22	51	69
HNRNPDLP2	0	0	0	0	0	0
RN7SL393P	0	0	0	1	0	0
PKP4	2128	2328	1887	4080	4971	7036
RPL7AP22	0	2	0	10	9	22
PKP4-AS1	28	33	28	14	15	35
AC005042.1	0	0	0	0	0	0
AC005042.2	0	0	0	0	0	0
DAPL1	0	2	0	1	0	0
AC064843.1	0	0	0	0	0	0
OR7E89P	0	0	0	0	0	0
OR7E28P	0	0	0	0	0	0
OR7E90P	0	0	0	0	0	0
RNU2-21P	0	0	0	0	0	0
TANC1	1249	1390	1113	1347	1557	2259
BTF3L4P2	7	3	1	1	3	12
RNU6-580P	0	0	0	0	0	0
GSTM3P2	0	0	0	0	0	0
MIR6888	0	0	0	0	0	0
WDSUB1	188	203	168	301	316	540
BAZ2B	1362	1511	1265	1541	1771	2719
AC008277.1	1	3	1	0	0	1
AC008277.2	0	1	0	0	0	1
CAPZA1P2	0	0	0	0	0	0
AC009506.1	0	0	0	0	0	0
AC009506.2	11	10	10	14	10	18
AC009961.1	2	5	2	5	11	15
RPS3AP13	0	0	0	0	2	1
MARCHF7	2038	2334	1925	1260	1552	2107
CD302	3	2	6	30	40	41
LY75-CD302	0	0	0	0	0	0
AC009961.3	0	0	0	2	1	5
LY75	111	125	105	421	487	645
AC009961.2	0	0	0	0	1	3
PLA2R1	388	409	338	1620	1728	2338
ITGB6	593	631	529	480	531	788
AC092153.1	2	3	0	4	0	4
LINC02478	2	0	0	0	0	2
RBMS1	265	307	227	427	542	758
MIR4785	0	0	0	0	0	0
AC096656.1	0	0	0	0	0	0
RN7SL423P	0	0	0	0	0	0
AC009313.2	1	0	3	0	0	0
AC009313.1	0	0	0	0	0	1
TANK	1925	2094	1953	2299	2892	4287
AC009299.2	3	10	1	6	16	15
LINC01806	7	7	8	45	57	90
AC009299.1	0	0	0	0	1	0
PSMD14	8901	10066	8286	1464	1711	2981
MXRA7P1	0	0	0	0	0	0
RNA5SP108	5	9	4	0	2	0
TBR1	7	3	4	1	0	0
AC009487.1	0	0	0	0	0	0
AC009487.2	0	0	0	0	0	0
SLC4A10	5	1	5	2	3	1
AC009487.3	0	0	0	0	0	0
AHCTF1P1	9	14	13	15	18	21
AC092654.1	0	0	0	0	0	0
AC062022.1	0	0	0	0	0	0
AC062022.2	0	0	0	0	0	0
KRT18P46	0	0	0	0	0	0
RPEP5	0	0	0	0	0	0
DPP4	2433	2750	2365	2281	2761	3869
DPP4-DT	2	1	0	7	5	5
TIMM8AP1	0	0	0	0	0	0
EIF3EP2	0	0	0	0	0	0
AC008063.1	0	0	0	0	1	0
GCG	0	3	1	1	0	2
AC007750.1	0	2	0	1	0	0
FAP	1	0	1	4	2	6
IFIH1	1144	2067	1317	428	673	880
GCA	333	312	281	414	482	758
KCNH7	0	4	1	2	0	0
RNA5SP109	0	0	0	0	0	0
KCNH7-AS1	0	0	0	0	0	0
RPL7P61	0	0	1	1	0	0
RNU6-627P	0	0	0	0	0	0
FIGN	0	0	1	0	0	0
AC016766.1	0	0	0	0	0	0
PRPS1P1	0	0	0	0	0	0
CYP2C56P	0	0	0	0	0	0
GRB14	120	156	134	417	509	721
AC107075.1	22	21	34	22	24	38
COBLL1	604	654	605	1477	1832	2576
AC019181.1	0	5	3	3	1	9
SNORA70F	2	3	2	0	0	0
AC019197.1	3	0	4	28	22	43
RNA5SP110	0	0	0	1	0	0
RNA5SP111	0	0	1	13	7	14
SLC38A11	23	30	29	392	422	596
SCN3A	3	0	0	0	4	6
SCN2A	1	0	0	0	0	3
MAPRE1P3	0	0	0	0	0	0
AC011303.1	0	0	0	0	0	0
CSRNP3	8	5	14	15	17	27
GALNT3	1801	2093	1702	1967	2398	3559
AC009495.3	0	0	0	5	8	12
AC009495.1	0	1	0	0	0	0
AC009495.2	0	0	0	0	1	0
TTC21B	233	257	258	319	377	602
TTC21B-AS1	2	1	0	0	0	0
SCN1A-AS1	0	0	0	0	0	0
SCN1A	0	0	0	0	0	0
AC010127.1	0	0	0	0	0	0
RN7SKP152	0	0	0	0	0	0
SCN9A	12	8	13	30	36	22
SCN7A	0	1	1	1	1	4
AC074101.1	0	0	0	0	0	0
XIRP2	0	0	0	0	0	0
AC092601.1	0	0	0	0	0	0
XIRP2-AS1	0	0	0	0	0	0
AC073050.1	0	0	0	0	0	0
RNU7-148P	0	0	0	0	0	0
CTAGE14P	0	0	0	0	0	0
B3GALT1-AS1	0	0	0	0	0	0
B3GALT1	0	1	2	0	1	0
STK39	2173	2433	2098	3426	4105	6358
PHF5GP	0	1	0	2	1	2
RN7SL813P	0	0	0	0	0	2
CERS6	862	1106	899	1459	1655	2343
MIR4774	0	0	0	0	0	0
RNU6-766P	0	0	0	0	0	0
CERS6-AS1	0	0	1	0	1	3
NOSTRIN	142	142	132	591	701	998
SPC25	76	79	77	325	332	545
G6PC2	0	0	0	0	0	1
ABCB11	22	18	13	3	1	1
DHRS9	80	80	61	11	28	34
AC007556.1	0	1	0	0	0	0
UBE2V1P6	0	0	0	0	0	0
LRP2	7	0	2	2	0	1
BBS5	9	13	5	9	7	16
AC093899.2	0	0	0	0	0	0
KLHL41	0	1	1	4	0	0
FASTKD1	115	133	87	356	391	560
AC093899.1	0	0	0	0	0	0
PPIG	2203	2607	2164	1545	2004	2489
CCDC173	1	2	1	0	1	2
AC016772.1	0	0	1	0	0	1
PHOSPHO2	9	14	11	53	58	92
KLHL23	109	112	104	321	413	594
AC009967.1	1	0	0	0	0	0
PTCHD3P2	0	0	0	0	0	1
CYB5AP2	0	0	0	0	0	0
SSB	1182	1446	1177	2296	2668	3633
METTL5	226	243	184	466	560	965
UBR3	3117	3684	2796	941	1051	1646
NSA2P5	12	14	4	0	1	5
RNU6-1006P	0	0	0	0	0	0
MYO3B	2	3	2	2	1	8
MYO3B-AS1	0	0	0	0	0	0
HMGB1P4	1	0	1	2	3	2
AC007277.1	1	0	1	5	4	8
AC007277.2	0	0	0	0	0	0
AC007405.2	8	12	10	21	34	46
LINC01124	2	2	2	53	55	61
SP5	12	4	10	86	109	112
EIF2S2P4	41	57	50	44	63	95
AC007405.4	12	23	9	54	74	99
AC007405.1	0	0	0	0	0	0
ERICH2	6	12	18	23	29	50
GAD1	78	105	70	74	79	127
AC007405.3	1	0	2	4	4	1
AC007405.5	0	0	0	0	0	1
AC010092.1	1	0	1	7	3	3
GORASP2	2841	3047	2618	1874	2164	2980
TLK1	1618	1929	1439	1644	1934	2424
METTL8	118	115	102	327	373	501
RPS26P20	0	0	0	0	0	0
DCAF17	181	192	147	335	386	499
DAP3P2	15	15	9	0	2	12
AC007969.1	0	0	0	0	0	1
RPS15P4	127	110	61	57	52	113
CYBRD1	52	58	39	68	74	96
RPL21P38	0	0	0	0	0	0
DYNC1I2	1384	1467	1329	1316	1513	2125
SLC25A12	148	160	125	433	520	785
RNU6-182P	0	0	0	0	0	0
HAT1	922	1072	894	864	1004	1683
METAP1D	52	38	48	165	187	289
DLX1	1	2	0	4	3	8
DLX2	4	1	1	1	1	2
DLX2-DT	0	1	0	0	0	0
AC104088.1	0	0	0	0	0	0
AC104088.3	0	0	0	0	0	0
AC104088.2	0	0	0	0	0	0
AC078883.3	0	0	0	1	1	1
ITGA6	5006	5550	4591	5497	6665	9893
AC078883.2	0	0	0	0	0	0
ITGA6-AS1	7	8	2	2	2	1
AC078883.1	41	69	53	46	52	80
PDK1	5030	5673	4534	759	888	1391
AC093818.1	0	1	0	0	0	0
AC018712.1	0	0	0	0	0	0
RAPGEF4-AS1	0	0	0	0	0	0
AC018712.2	0	0	0	0	0	0
RAPGEF4	4	3	2	3	2	5
ALDH7A1P2	0	0	0	0	0	0
MAP3K20	1089	1330	1053	2113	2613	3641
MAP3K20-AS1	12	16	6	27	31	41
AC092573.1	0	0	0	0	0	0
AC092573.2	1	0	0	1	2	10
CDCA7	376	386	335	2354	2645	3576
AC073465.1	0	0	0	0	0	0
AC073465.2	0	0	0	0	0	0
PPIAP66	2	1	0	4	0	2
AC013410.1	1	0	0	0	1	0
